_time,cloudCover,humidity,precipitationIntensity,solarGHI,temperature,temperatureApparent,windSpeed
2022-06-07T22:15:00Z,100,78,0,0,15.13,15.13,0.5
2022-06-07T22:30:00Z,100,78.5,0,0,14.895,14.895,0.5
2022-06-07T22:45:00Z,100,79,0,0,14.66,14.66,0.5
2022-06-07T23:00:00Z,100,79.5,0,0,14.425,14.425,0.5
2022-06-07T23:15:00Z,100,80,0,0,14.19,14.19,0.5
2022-06-07T23:30:00Z,100,80.5,0,0,13.969999999999999,13.969999999999999,0.5775
2022-06-07T23:45:00Z,100,81,0,0,13.75,13.75,0.655
2022-06-08T00:00:00Z,100,81.5,0,0,13.530000000000001,13.530000000000001,0.7325
2022-06-08T00:15:00Z,100,82,0,0,13.31,13.31,0.81
2022-06-08T00:30:00Z,99.5,82,0,0,13.31,13.31,0.765
2022-06-08T00:45:00Z,99,82,0,0,13.31,13.31,0.72
2022-06-08T01:00:00Z,98.5,82,0,0,13.31,13.31,0.675
2022-06-08T01:15:00Z,98,82,0,0,13.31,13.31,0.63
2022-06-08T01:30:00Z,98.5,81.75,0,0,13.31,13.31,0.63
2022-06-08T01:45:00Z,99,81.5,0,0,13.31,13.31,0.63
2022-06-08T02:00:00Z,99.5,81.25,0,0,13.31,13.31,0.63
2022-06-08T02:15:00Z,100,81,0,0,13.31,13.31,0.63
2022-06-08T02:30:00Z,100,82,0,0,13.2025,13.2025,0.645
2022-06-08T02:45:00Z,100,83,0,0,13.095,13.095,0.6599999999999999
2022-06-08T03:00:00Z,100,84,0,0,12.9875,12.9875,0.6749999999999999
2022-06-08T03:15:00Z,100,85,0,0,12.88,12.88,0.69
2022-06-08T03:30:00Z,100,84.5,2.659925,0.1025,13.1125,13.1125,0.6425
2022-06-08T03:45:00Z,100,84,5.31985,0.205,13.345,13.345,0.595
2022-06-08T04:00:00Z,100,83.5,7.979774999999999,0.3075,13.5775,13.5775,0.5475
2022-06-08T04:15:00Z,100,83,10.6397,0.41,13.81,13.81,0.5
2022-06-08T04:30:00Z,98.25,82.5,7.979775,2.03,14.2325,14.2325,0.5325
2022-06-08T04:45:00Z,96.5,82,5.31985,3.65,14.655000000000001,14.655000000000001,0.565
2022-06-08T05:00:00Z,94.75,81.5,2.6599250000000003,5.27,15.0775,15.0775,0.5975
2022-06-08T05:15:00Z,93,81,0,6.89,15.5,15.5,0.63
2022-06-08T05:30:00Z,93.25,78.75,0.205075,16.79,15.8275,15.8275,0.5975
2022-06-08T05:45:00Z,93.5,76.5,0.41015,26.69,16.155,16.155,0.565
2022-06-08T06:00:00Z,93.75,74.25,0.615225,36.59,16.482499999999998,16.482499999999998,0.5325
2022-06-08T06:15:00Z,94,72,0.8203,46.49,16.81,16.81,0.5
2022-06-08T06:30:00Z,95.5,71,0.9943500000000001,34.8675,17.107499999999998,17.107499999999998,0.6575
2022-06-08T06:45:00Z,97,70,1.1684,23.245,17.405,17.405,0.815
2022-06-08T07:00:00Z,98.5,69,1.34245,11.622500000000002,17.7025,17.7025,0.9724999999999999
2022-06-08T07:15:00Z,100,68,1.5165,0,18,18,1.13
2022-06-08T07:30:00Z,100,67.25,1.3395,0,18.3275,18.3275,1.2999999999999998
2022-06-08T07:45:00Z,100,66.5,1.1625,0,18.655,18.655,1.47
2022-06-08T08:00:00Z,100,65.75,0.9855,0,18.982499999999998,18.982499999999998,1.6400000000000001
2022-06-08T08:15:00Z,100,65,0.8085,0,19.31,19.31,1.81
2022-06-08T08:30:00Z,100,65.75,0.606375,0.0225,19.265,19.265,1.9825
2022-06-08T08:45:00Z,100,66.5,0.40425,0.045,19.22,19.22,2.1550000000000002
2022-06-08T09:00:00Z,100,67.25,0.202125,0.06749999999999999,19.174999999999997,19.174999999999997,2.3275
2022-06-08T09:15:00Z,100,68,0,0.09,19.13,19.13,2.5
2022-06-08T09:30:00Z,100,68.25,0,0.36,19.38,19.38,2.5475
2022-06-08T09:45:00Z,100,68.5,0,0.6299999999999999,19.63,19.63,2.5949999999999998
2022-06-08T10:00:00Z,100,68.75,0,0.8999999999999998,19.88,19.88,2.6425
2022-06-08T10:15:00Z,100,69,0,1.17,20.13,20.13,2.69
2022-06-08T10:30:00Z,100,67.75,0,0.8775,20.2225,20.2225,2.565
2022-06-08T10:45:00Z,100,66.5,0,0.585,20.314999999999998,20.314999999999998,2.44
2022-06-08T11:00:00Z,100,65.25,0,0.2925,20.4075,20.4075,2.315
2022-06-08T11:15:00Z,100,64,0,0,20.5,20.5,2.19
2022-06-08T11:30:00Z,100,63.5,0,5.7325,20.5,20.5,2.065
2022-06-08T11:45:00Z,100,63,0,11.465,20.5,20.5,1.94
2022-06-08T12:00:00Z,100,62.5,0,17.1975,20.5,20.5,1.815
2022-06-08T12:15:00Z,100,62,0,22.93,20.5,20.5,1.69
2022-06-08T12:30:00Z,95,60.25,0,42.6875,20.8275,20.8275,1.6749999999999998
2022-06-08T12:45:00Z,90,58.5,0,62.445,21.155,21.155,1.66
2022-06-08T13:00:00Z,85,56.75,0,82.20249999999999,21.482499999999998,21.482499999999998,1.6449999999999998
2022-06-08T13:15:00Z,80,55,0,101.96,21.81,21.81,1.63
2022-06-08T13:30:00Z,80.75,55,0,93.18249999999999,21.81,21.81,1.63
2022-06-08T13:45:00Z,81.5,55,0,84.405,21.81,21.81,1.63
2022-06-08T14:00:00Z,82.25,55,0,75.6275,21.81,21.81,1.63
2022-06-08T14:15:00Z,83,55,0,66.85,21.81,21.81,1.63
2022-06-08T14:30:00Z,83,54,0,66.7725,21.9525,21.9525,1.8175
2022-06-08T14:45:00Z,83,53,0,66.695,22.095,22.095,2.005
2022-06-08T15:00:00Z,83,52,0,66.6175,22.237499999999997,22.237499999999997,2.1925
2022-06-08T15:15:00Z,83,51,0,66.54,22.38,22.38,2.38
2022-06-08T15:30:00Z,87.25,52.75,0.0818,49.905,22.035,22.035,2.505
2022-06-08T15:45:00Z,91.5,54.5,0.1636,33.27,21.689999999999998,21.689999999999998,2.63
2022-06-08T16:00:00Z,95.75,56.25,0.2454,16.634999999999998,21.345,21.345,2.755
2022-06-08T16:15:00Z,100,58,0.3272,0,21,21,2.88
2022-06-08T16:30:00Z,100,59.75,0.35505,0.0575,20.7825,20.7825,2.4425
2022-06-08T16:45:00Z,100,61.5,0.3829,0.115,20.564999999999998,20.564999999999998,2.005
2022-06-08T17:00:00Z,100,63.25,0.41075,0.1725,20.3475,20.3475,1.5675
2022-06-08T17:15:00Z,100,65,0.4386,0.23,20.13,20.13,1.13
2022-06-08T17:30:00Z,99.5,66.75,0.32894999999999996,0.30500000000000005,19.77,19.77,1.0975
